id,en,jp,trans
0-chapter_name,,泣き蟲王子とオレ様執事, 愛哭鬼王子和唯我獨尊執事
0-synopsis,,一行は魔物図鑑製作の手助けを依頼され、魔物絵師のルナールが魔物をスケッチする手伝いをする。依頼を終えて彼女の部屋を訪れると、裸の男が絡み合う絵が大量に見つかり、ルナールは自らが耽美絵師を目指していることを明かす。しかし、耽美絵物語は希少で勉強もできないと嘆く彼女に、ルリア達は旅に同行して島々を探さないかと提案する。, 接了委託幫忙製作魔物圖鑒的一行人、去幫魔物畫師露娜露進行魔物素描了。完成委託後受邀到了她的房子、被發現有大量裸男在交纏的畫之後、露娜露她說明了自己想成為耽美畫師的意向。不過、她卻因為耽美圖畫本太稀有沒法學習而在歎息、對這樣的她我們提出了一起旅行去各式各的島收集的邀請。 mirror0420
0,,グォン……！, 嘎噢……！
1,,うわっ！<br>そっち行ったぞ、ルリア！, 哇啊！<br>去你那邊了、露莉亞！
2,,任せてください！<br>ええっと、エサ、エサ……, 交給我吧！<br>那個、誘餌、誘餌……
3,,あ、おい！<br>急がねぇと逃げちまうぜ！, 喂、喂！<br>不快點的話要被逃了！
4,,はわっ！？<br>エ、エサがもうなかったです……！, 哈哇哇！？<br>誘餌、已經沒有了……！
5,,グオォォォン！, 嘎噢噢噢噢噢！
6,,なんてこった……<br>ルナール、もう描き終わったか！？, 怎麼會這樣……<br>露娜露、你畫好了嗎！？
7,,……まだよ。, ……還沒有。
8,,ああっ！<br>お願い、まだ逃げないでー！, 啊啊啊！<br>求你了、別再逃了好嗎ー！
13,,<span class='scene-font-katari'>遡ること數時間前。</span><br><span class='scene-font-katari'>一行はシェロカルテに呼ばれ、</span><br><span class='scene-font-katari'>依頼の話を聞いていた。</span>,<span class='scene-font-katari'>回到數小時之前。</span><br><span class='scene-font-katari'>一行人被榭洛科特叫來、</span><br><span class='scene-font-katari'>聽了聽委託的內容。</span>
14,,お仕事の依頼で～す！<br>実は知人の商會がですね～<br>最新版の魔物図鑑を作ってるんです～, 有工作的委託來～了！<br>其實是我相熟的商會呢～<br>正在做一份最新版的魔物圖鑒～
15,,それで～<br>魔物の絵を擔當してる絵師さんの、<br>お手伝いをして頂きたいんですよ～, 然後呢～<br>想請你們去幫一幫、<br>負責畫魔物的畫師～
16,,わかったぜ！<br>でも、手伝いって何をするんだ？, 交給我們吧！<br>不過、是要幫忙做什麼？
17,,それがですね～<br>彼女が魔物をスケッチする間、<br>観察しやすいようにして欲しいんです～, 這個呢～<br>她說想要在素描魔物的時候、<br>可以更加輕鬆地觀察～
18,,なるほど……<br>彼女ということは、女の人なんですか？, 這樣啊……<br>你說她、是個女畫師嗎？
19,,はい～<br>彼女はルナールさんといって～<br>「魔物絵師」と呼ばれてます～, 是的～<br>她叫露娜露～<br>其他人都叫她「魔物畫師」～
20,,ふふふ～<br>まるで生きてるみたいな大迫力の絵で～<br>とても有名なんですよ～, 哼哼哼～<br>她畫出來的畫就像活的一樣有迫力～<br>是個非常有名的畫師～
21,,ではでは～<br>よろしくお願いしますね～, 那麼～<br>就拜託你們了～
26,,<span class='scene-font-katari'>なんとか依頼を終えた一行は、</span><br><span class='scene-font-katari'>近所にあるルナールの自宅で、</span><br><span class='scene-font-katari'>休憩させてもらうことになった。</span>,<span class='scene-font-katari'>總算完成了委託的一行人、</span><br><span class='scene-font-katari'>被邀請到就在附近的露娜露家、</span><br><span class='scene-font-katari'>稍稍休息一會。</span>
27,,ふぅ……<br>思ったより大変でしたね……<br>でも、絵が出來て良かったです！, 呼……<br>比想像中的更棘手呢……<br>不過、畫能完成真是太好了！
28,,完成はしてないわ。<br>これから著彩するのよ。, 還沒有完成的。<br>之後還要上色。
29,,え？<br>こ、これからですか？<br>ちょっと休んだほうが……, 欸？<br>現、現在就開始嗎？<br>還是先休息一下吧……
30,,さっさと終わらせたいの。<br>脳裏に魔物が焼きついてるうちにね。, 我想儘快完成它。<br>趁現在腦海裡魔物的形象還很鮮明。
31,,わぁ……<br>なんかカッコイイです！<br>仕事熱心なんですね！, 哇啊……<br>我覺得<br>你這樣熱心工作的人很帥啊！ 
32,,逆よ。<br>仕事だから、効率重視。<br>インスピレーションとか必要ないし。, 相反。<br>因為是工作、所以才重視效率。<br>反正這工作又不用靈感之類的。
33,,え、えっと……<br>そ、そうなんですか……, 那、那個……<br>是、是這樣的啊……
34,,──ウッヒャァァァ！！, ──呃啊啊啊啊啊！！
35,,ビィさん！？<br>あ、あっちの部屋からです！, 碧！？<br>是、從那個房間傳來的！
36,,わたしの仕事部屋……？<br>もう、勝手なことして……！, 我的工作室……？<br>真是的、隨便亂跑……！
40,,だ、大丈夫ですか！？<br>いったい何が……, 你、沒事吧！？<br>到底怎麼了……
41,,信じられねぇ……<br>なんなんだよ、この大量の絵は！？, 真不敢信……<br>這是怎麼一回事、這大量的畫是！？
42,,え……？<br>それは、だって絵師さんですし……,什麼......？欸……？<br>這是、因為是畫師嘛……
43,,ひゃあぁぁぁ！<br>おおお、男の人の裸がいっぱい……！？, 唔呀呀呀呀！<br>有有有、很多裸體的男人……！？
44,,見ろ！<br>こっちのはもっとオカシイぜ！<br>ルナールのヤツ、とんでもねぇ──, 你看！<br>這邊的畫更加奇怪！<br>露娜露這傢伙、了不起啊──
45,,……見たな？, ……看到了？
46,,ひゃい！？<br>ル、ルナールさん……？, 唔呀！？<br>露、露娜露……？
47,,はぁ……<br>た、ただの人體模寫よ……<br>基礎的な訓練でしょ。, 哈……<br>只、只是普通的人體素描……<br>是很基本的訓練。
48,,さ、出て行って頂戴。<br>仕事道具を壊したらどうするの。, 出、出去吧。<br>弄壞了工作工具的話要怎麼辦。
49,,ルリア、離れろ！<br>その女は普通じゃねぇ！<br>男が殺し合ってる絵ばっか描いてんだ！, 露莉亞、快離開<br>那個女的不是普通人！<br>她在畫一些男人在互相殘殺的畫！
50,,……っ！？<br>ち、違うもん！<br>絡み合ってるんだもん！,……！？<br>不、不是這樣的！<br>他們是在互相交纏！
51,,え？<br>か、からみ……？, 欸？<br>交、交纏……？
52,,うああっ！？<br>し、しまったあ……！, 呃啊啊！？<br>糟、糟了……！
54,,えっとぉ……<br>とりあえず危ないヤツじゃねぇのか？, 那個……<br>所以你不是個危險人物對吧？
55,,うぅ～……<br>當たり前でしょ……, 嗯嗯～……<br>當然不是啊……
56,,わたしは……<br>巷で魔物絵師とか言われてるけれど……<br>本當は「耽美絵師」を目指してるのよ。, 我呢……<br>雖然街上的人都當我是魔物畫師……<br>不過其實是本身是想當「耽美畫師」的。
